epoch,train_loss,val_loss,lr
1,4.1703,3.7802,0.0003
2,3.7099,3.68,0.000255
3,3.6705,3.6829,0.000217
4,3.6554,3.6643,0.000184
5,3.6421,3.6657,0.000157
6,3.6364,3.6478,0.000133
7,3.6351,3.6569,0.000113
8,3.632,3.6475,9.6e-05
9,3.627,3.6361,8.2e-05
10,3.6255,3.637,6.9e-05
11,3.6236,3.6409,5.9e-05
12,3.6214,3.6336,5e-05
13,3.6201,3.6331,4.3e-05
14,3.6193,3.6334,3.6e-05
15,3.6182,3.6321,3.1e-05
16,3.617,3.6346,2.6e-05
17,3.6165,3.6324,2.2e-05
18,3.6161,3.6309,1.9e-05
19,3.6156,3.6319,1.6e-05
20,3.6151,3.6311,1.4e-05
