epoch,split,total_loss
0,train,14.81922
0,val,12.903229
1,train,12.301448
1,val,11.142084
2,train,11.023438
2,val,10.085134
3,train,10.2167
3,val,9.922282
4,train,9.81232
4,val,9.806104
5,train,9.645677
5,val,9.322786
6,train,9.353
6,val,9.612941
7,train,9.115929
7,val,9.114412
8,train,9.097529
8,val,9.039423
9,train,8.934823
9,val,8.922604
10,train,8.807684
10,val,9.00579
11,train,8.741434
11,val,8.853951
12,train,8.724399
12,val,8.927371
13,train,8.625061
13,val,8.784946
14,train,8.441095
14,val,8.716337
15,train,8.443872
15,val,8.712412
16,train,8.386144
16,val,8.66501
17,train,8.35054
17,val,8.682958
18,train,8.309032
18,val,8.586658
19,train,8.221135
19,val,8.561186
0,train,14.806036
0,val,13.027113
